Store,Date,Temperature,Fuel_Price,MarkDown,CPI,Unemployment,IsHoliday,Weekly_Sales,Test
1,40214,42.31,2.572,0,211.0963582,8.106,0,106690.06,
1,40221,38.51,2.548,0,211.2421698,8.106,1,111390.36,
1,40228,39.93,2.514,0,211.2891429,8.106,0,107952.07,
1,40235,46.63,2.561,0,211.3196429,8.106,0,103652.58,
1,40242,46.5,2.625,0,211.3501429,8.106,0,112807.75,
1,40249,57.79,2.667,0,211.3806429,8.106,0,112048.41,
1,40256,54.58,2.72,0,211.215635,8.106,0,117716.13,
1,40263,51.45,2.732,0,211.0180424,8.106,0,113117.35,
1,40270,62.27,2.719,0,210.8204499,7.808,0,111466.37,
1,40277,65.86,2.77,0,210.6228574,7.808,0,116770.82,
1,40284,66.32,2.808,0,210.4887,7.808,0,126341.84,
1,40291,64.84,2.795,0,210.4391228,7.808,0,110204.77,
1,40298,67.41,2.78,0,210.3895456,7.808,0,107648.14,
1,40305,72.55,2.835,0,210.3399684,7.808,0,125592.28,
1,40312,74.78,2.854,0,210.3374261,7.808,0,120247.9,
1,40319,76.44,2.826,0,210.6170934,7.808,0,120036.99,
1,40326,80.44,2.759,0,210.8967606,7.808,0,121902.19,
1,40333,80.69,2.705,0,211.1764278,7.808,0,133056.97,
1,40340,80.43,2.668,0,211.4560951,7.808,0,131995,
1,40347,84.11,2.637,0,211.4537719,7.808,0,134118.05,
1,40354,84.34,2.653,0,211.3386526,7.808,0,120172.47,
1,40361,80.91,2.669,0,211.2235333,7.787,0,124821.44,
1,40368,80.48,2.642,0,211.108414,7.787,0,126241.2,
1,40375,83.15,2.623,0,211.1003854,7.787,0,121386.73,
1,40382,83.36,2.608,0,211.2351443,7.787,0,116256.35,
1,40389,81.84,2.64,0,211.3699032,7.787,0,108781.57,
1,40396,87.16,2.627,0,211.5046621,7.787,0,131128.96,
1,40403,87,2.692,0,211.6394211,7.787,0,131288.83,
1,40410,86.65,2.664,0,211.6033633,7.787,0,124601.48,
1,40417,85.22,2.619,0,211.5673056,7.787,0,117929.58,
1,40424,81.21,2.577,0,211.5312479,7.787,0,124220.1,
1,40431,78.69,2.565,0,211.4951902,7.787,1,125027.49,
1,40438,82.11,2.582,0,211.5224596,7.787,0,124372.9,
1,40445,80.94,2.624,0,211.5972246,7.787,0,114702.69,
1,40452,71.89,2.603,0,211.6719895,7.838,0,113009.41,
1,40459,63.93,2.633,0,211.7467544,7.838,0,120764.22,
1,40466,67.18,2.72,0,211.8137436,7.838,0,123510.99,
1,40473,69.86,2.725,0,211.8612937,7.838,0,110052.15,
1,40480,69.64,2.716,0,211.9088438,7.838,0,105793.4,
1,40487,58.74,2.689,0,211.9563939,7.838,0,110332.92,
1,40494,59.61,2.728,0,212.003944,7.838,0,110209.31,
